"source_code","source_display","target_code","target_display"
"snomedct_261665006","Unknown","261665006","Unknown"
"snomedct_734875008","XX","734875008","XX"
"snomedct_734876009","XY","734876009","XY"
"snomedct_80427008","X0","80427008","X0"
"snomedct_65162001","XXY","65162001","XXY"
"snomedct_35111009","XXX","35111009","XXX"
"snomedct_403760006","XXYY","403760006","XXYY"
"snomedct_78317008","XXXY","78317008","XXXY"
"snomedct_10567003","XXXX","10567003","XXXX"
"snomedct_48930007","XYY","48930007","XYY"
"snomedct_74964007","Other","",""
